"Missing Age","State"
"16 Years","TN"
"15 Years","TN"
"16 Years","TN"
"67 Years","NC"
"16 Years","NY"
"14 Years","PA"
"55 Years","PA"
"37 Years","AL"
"34 Years","TN"
"62 Years","NC"
"33 Years","NC"
"33 Years","TN"
"15 Years","TN"
"28 Years","NC"
"17 Years","TN"
"37 Years","AL"
"29 Years","TN"
"30 Years","NY"
"16 Years","TN"
"32 Years","PA"
"17 Years","TN"
"44 Years","OH"
"39 Years","NY"
"64 Years","NC"
"17 Years","TN"
"25 Years","TN"
"23 Years","KY"
"39 Years","TN"
"17 Years","NC"
"17 Years","NC"
"23 Years","TN"
"23 Years","VA"
"16 Years","TN"
"57 Years","KY"
"32 Years","OH"
"15 Years","KY"
"14 Years","KY"
"15 Years","MD"
"17 Years","TN"
"34 Years","NY"
"17 Years","PA"
"77 Years","NC"
"17 Years","TN"
"17 Years","TN"
"25 Years","TN"
"15 Years","TN"
"46 Years","TN"
"16 Years","GA"
"69 Years","TN"
"63 Years","NC"
"33 Years","VA"
"28 Years","SC"
"28 Years","VA"
"16 Years","PA"
"35 Years","TN"
"76 Years","TN"
"15 Years","MD"
"58 Years","NC"
"60 Years","TN"
"47 Years","TN"
"41 Years","AL"
"35 Years","PA"
"35 Years","NC"
"31 Years","NC"
"24 Years","NC"
"68 Years","NC"
"20 Years","PA"
"38 Years","TN"
"36 Years","NC"
"33 Years","NY"
"17 Years","TN"
"16 Years","KY"
"26 Years","NC"
"16 Years","NC"
"16 Years","NC"
"15 Years","NC"
"59 Years","TN"
"21 Years","VA"
"17 Years","NC"
"21 Years","TN"
"26 Years","TN"
"16 Years","TN"
"4 Years","VA"
"33 Years","VA"
"67 Years","GA"
"71 Years","TN"
"38 Years","TN"
"16 Years","TN"
"34 Years","WV"
"33 Years","TN"
"13 Years","TN"
"28 Years","NC"
"27 Years","NC"
"33 Years","AL"
"35 Years","OH"
"16 Years","PA"
"76 Years","PA"
"65 Years","PA"
"62 Years","NC"
"60 Years","OH"
"37 Years","GA"
"35 Years","TN"
"17 Years","PA"
"17 Years","TN"
"35 Years","PA"
"35 Years","TN"
"15 Years","KY"
"47 Years","TN"
"17 Years","TN"
"34 Years","TN"
"45 Years","MS"
"49 Years","PA"
"43 Years","AL"
"51 Years","TN"
"17 Years","NC"
"14 Years","TN"
"65 Years","VA"
"64 Years","NC"
"54 Years","NC"
"18 Years","TN"
"16 Years","TN"
"16 Years","NY"
"29 Years","MD"
"36 Years","TN"
"16 Years","NC"
"29 Years","NC"
"16 Years","TN"
"43 Years","NC"
"17 Years","KY"
"82 Years","NY"
"36 Years","GA"
"33 Years","NC"
"46 Years","NC"
"16 Years","TN"
"19 Years","TN"
"14 Years","TN"
"15 Years","TN"
"22 Years","VA"
"68 Years","NC"
"12 Years","TN"
"14 Years","TN"
"46 Years","TN"
"16 Years","TN"
"35 Years","NY"
"57 Years","NY"
"39 Years","NC"
"45 Years","TN"
"21 Years","OH"
"41 Years","TN"
"27 Years","MS"
"54 Years","TN"
"16 Years","PA"
"32 Years","PA"
"53 Years","NC"
"54 Years","TN"
"16 Years","TN"
"60 Years","KY"
"45 Years","NC"
"27 Years","AL"
"45 Years","NY"
"78 Years","VA"
"33 Years","PA"
"53 Years","NC"
"60 Years","TN"
"62 Years","NC"
"16 Years","NC"
"19 Years","NY"
"17 Years","TN"
"16 Years","MD"
"15 Years","KY"
"51 Years","TN"
"17 Years","TN"
"80 Years","NC"
"60 Years","GA"
"15 Years","TN"
"17 Years","TN"
"12 Years","GA"
"16 Years","TN"
