Case,ME/C Case,DBF,Age From,Age To,City,County,State,Biological Sex,Race / Ethnicity,Date Modified
UP134864,ME/C Case M24-36375,12/7/2024,40,70,Manhattan,New York,New York,Female,Black / African American,12/19/2024
UP135183,ME/C Case M24-36263,12/6/2024,60,70,Manhattan,New York,New York,Male,Black / African American,12/19/2024
UP135055,ME/C Case R24-35915,12/3/2024,50,60,Staten Island,Richmond,New York,Female,Hispanic / Latino,12/19/2024
UP134995,ME/C Case K24-35461,11/29/2024,50,60,Brooklyn,Kings,New York,Male,White / Caucasian,12/16/2024
UP135053,ME/C Case Q24-34660,11/22/2024,40,60,Queens,Queens,New York,Female,Black / African American,12/17/2024
UP135083,ME/C Case T2024-01679,11/18/2024,,,,Chesapeake,Virginia,Unsure,Uncertain,12/17/2024
UP133732,ME/C Case ME24-12250/B24-5069,11/14/2024,,,Raleigh,Wake,North Carolina,Male,White / Caucasian,12/11/2024
UP133477,ME/C Case B24-33650,11/12/2024,30,50,Bronx,Bronx,New York,Male,Hispanic / Latino,12/10/2024
UP133208,ME/C Case 24-21741,11/8/2024,,,Thompson,Windham,Connecticut,Female,Uncertain,11/14/2024
UP133718,ME/C Case M24-32463,11/1/2024,40,60,Manhattan,New York,New York,Male,"Hispanic / Latino, Asian",12/3/2024
UP133581,ME/C Case B24-32287,10/30/2024,45,55,Bronx,Bronx,New York,Male,Hispanic / Latino,12/3/2024
UP133230,ME/C Case K24-32132,10/29/2024,40,50,Brooklyn,Kings,New York,Male,Hispanic / Latino,12/3/2024
UP133401,ME/C Case S2024-0012,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133400,ME/C Case S2024-0011,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133403,ME/C Case S2024-0014,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133406,ME/C Case S2024-0016,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133397,ME/C Case S2024-0009,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133410,ME/C Case S2024-0019,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133396,ME/C Case S2024-0008,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133413,ME/C Case S2024-0022,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133399,ME/C Case S2024-0010,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133414,ME/C Case S2024-0023,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133393,ME/C Case S2024-0006,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133402,ME/C Case S2024-0013,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133261,ME/C Case S2024-0005,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133411,ME/C Case S2024-0020,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133412,ME/C Case S2024-0021,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133404,ME/C Case S2024-0015,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133407,ME/C Case S2024-0017,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133409,ME/C Case S2024-0018,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP133394,ME/C Case S2024-0007,10/28/2024,,,Media,Delaware,Pennsylvania,Unsure,Uncertain,11/18/2024
UP134403,ME/C Case 07-24-2065,10/25/2024,,,Newark,Essex,New Jersey,Male,Hispanic / Latino,12/9/2024
UP133444,ME/C Case ME24-11730/B24-4927,10/24/2024,,,Raeford,Hoke,North Carolina,Female,Black / African American,12/11/2024
UP133716,ME/C Case M24-31510,10/23/2024,60,70,Manhattan,New York,New York,Female,Uncertain,11/25/2024
UP132333,ME/C Case 24-4846,10/23/2024,50,70,Philadelphia,Philadelphia,Pennsylvania,Male,Uncertain,11/24/2024
UP134400,ME/C Case 16-24-0834,10/22/2024,,,Passaic,Passaic,New Jersey,Male,Hispanic / Latino,12/9/2024
UP133228,ME/C Case Q24-31422,10/22/2024,60,70,Queens,Queens,New York,Female,Uncertain,11/18/2024
UP133020,ME/C Case 24-20147,10/17/2024,,,Thompson,Windham,Connecticut,Female,White / Caucasian,11/12/2024
UP132335,ME/C Case ME24-11566/B24-4851,10/17/2024,,,Greensboro,Guilford,North Carolina,Male,Black / African American,12/5/2024
